id,title,source,difficulty,tags,link,summary
1,Two Sum,LeetCode,Easy,"Array, Hash Table",https://leetcode.com/problems/two-sum,Find two numbers in an array that add up to a given target and return their indices.
2,Best Time to Buy and Sell Stock,LeetCode,Easy,"Array, Greedy",https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Find the maximum profit from a single buy-sell transaction in a price array.
3,Contains Duplicate,LeetCode,Easy,"Array, Hash Table",https://leetcode.com/problems/contains-duplicate,Determine if any value appears at least twice in an integer array.
4,Move Zeroes,LeetCode,Easy,"Array, Two Pointers",https://leetcode.com/problems/move-zeroes,Move all zeroes to the end of an array while maintaining order of non-zero elements.
5,Running Sum of 1d Array,LeetCode,Easy,Array,https://leetcode.com/problems/running-sum-of-1d-array,Compute the running (prefix) sum of an integer array.
6,Shuffle the Array,LeetCode,Easy,Array,https://leetcode.com/problems/shuffle-the-array,Interleave two halves of an array to produce a shuffled result.
7,Kids With the Greatest Number of Candies,LeetCode,Easy,Array,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies,Determine which kids can have the greatest candies after a boost.
8,Richest Customer Wealth,LeetCode,Easy,"Array, Matrix",https://leetcode.com/problems/richest-customer-wealth,Find the wealth of the richest customer given a matrix of bank accounts.
9,Number of Good Pairs,LeetCode,Easy,"Array, Hash Table",https://leetcode.com/problems/number-of-good-pairs,"Count pairs (i,j) where nums[i]==nums[j] and i<j."
10,Concatenation of Array,LeetCode,Easy,Array,https://leetcode.com/problems/concatenation-of-array,Return the concatenation of an array with itself.
11,Left and Right Sum Differences,LeetCode,Easy,Array,https://leetcode.com/problems/left-and-right-sum-differences,Return an array of absolute differences between left and right prefix sums.
12,Find the Highest Altitude,LeetCode,Easy,Array,https://leetcode.com/problems/find-the-highest-altitude,Find the highest altitude reached given a list of altitude gains.
13,Find Pivot Index,LeetCode,Easy,"Array, Prefix Sum",https://leetcode.com/problems/find-pivot-index,Find the index where the sum of left elements equals the sum of right elements.
14,Maximum Average Subarray I,LeetCode,Easy,"Array, Sliding Window",https://leetcode.com/problems/maximum-average-subarray-i,Find the contiguous subarray of length k with the maximum average.
15,Sort Array by Parity,LeetCode,Easy,"Array, Two Pointers",https://leetcode.com/problems/sort-array-by-parity,Move all even integers to the front of the array.
16,Third Maximum Number,LeetCode,Easy,"Array, Sorting",https://leetcode.com/problems/third-maximum-number,Return the third distinct maximum; if it doesn't exist return the maximum.
17,Find All Numbers Disappeared,LeetCode,Easy,"Array, Hash Table",https://leetcode.com/problems/find-all-numbers-disappeared,"Find all numbers missing from an array of range [1,n]."
18,Squares of a Sorted Array,LeetCode,Easy,"Array, Two Pointers",https://leetcode.com/problems/squares-of-a-sorted-array,Return sorted array of squares of a sorted integer array.
19,Intersection of Two Arrays,LeetCode,Easy,"Array, Hash Table",https://leetcode.com/problems/intersection-of-two-arrays,Return the intersection (unique) of two arrays.
20,Plus One,LeetCode,Easy,"Array, Math",https://leetcode.com/problems/plus-one,Increment a large integer represented as an array of digits by one.
21,Reverse String,LeetCode,Easy,"String, Two Pointers",https://leetcode.com/problems/reverse-string,Reverse a character array in-place using two pointers.
22,Valid Palindrome,LeetCode,Easy,"String, Two Pointers",https://leetcode.com/problems/valid-palindrome,Check if a string is a palindrome ignoring non-alphanumeric characters.
23,Longest Common Prefix,LeetCode,Easy,String,https://leetcode.com/problems/longest-common-prefix,Find the longest common prefix string among an array of strings.
24,Reverse Words in a String III,LeetCode,Easy,"String, Two Pointers",https://leetcode.com/problems/reverse-words-in-a-string-iii,Reverse the characters in each word of a sentence.
25,Count and Say,LeetCode,Easy,String,https://leetcode.com/problems/count-and-say,Generate the nth term of the count-and-say sequence.
26,Valid Anagram,LeetCode,Easy,"String, Hash Table",https://leetcode.com/problems/valid-anagram,Determine if two strings are anagrams of each other.
27,First Unique Character in a String,LeetCode,Easy,"String, Hash Table",https://leetcode.com/problems/first-unique-character-in-a-string,Find the first non-repeating character in a string and return its index.
28,Roman to Integer,LeetCode,Easy,"String, Math",https://leetcode.com/problems/roman-to-integer,Convert a Roman numeral string to its integer representation.
29,Implement strStr(),LeetCode,Easy,"String, Two Pointers",https://leetcode.com/problems/implement-strstr,Return the index of the first occurrence of needle in haystack.
30,Palindrome Number,LeetCode,Easy,"Math, String",https://leetcode.com/problems/palindrome-number,Determine whether an integer is a palindrome without converting to string.
31,Reverse Linked List,LeetCode,Easy,"Linked List, Recursion",https://leetcode.com/problems/reverse-linked-list,Reverse a singly linked list iteratively or recursively.
32,Merge Two Sorted Lists,LeetCode,Easy,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists,Merge two sorted linked lists and return the merged sorted list.
33,Linked List Cycle,LeetCode,Easy,"Linked List, Two Pointers",https://leetcode.com/problems/linked-list-cycle,Detect if a linked list has a cycle using fast and slow pointers.
34,Middle of the Linked List,LeetCode,Easy,"Linked List, Two Pointers",https://leetcode.com/problems/middle-of-the-linked-list,Find the middle node of a linked list using two pointers.
35,Remove Linked List Elements,LeetCode,Easy,"Linked List, Recursion",https://leetcode.com/problems/remove-linked-list-elements,Remove all elements from a linked list with a given value.
36,Delete Node in a Linked List,LeetCode,Easy,Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list,Delete a node in a linked list given only access to that node.
37,Palindrome Linked List,LeetCode,Easy,"Linked List, Two Pointers",https://leetcode.com/problems/palindrome-linked-list,Check whether a linked list is a palindrome in O(n) time.
38,Intersection of Two Linked Lists,LeetCode,Easy,"Linked List, Hash Table",https://leetcode.com/problems/intersection-of-two-linked-lists,Find the node at which two linked lists intersect.
39,Maximum Depth of Binary Tree,LeetCode,Easy,"Binary Trees, DFS",https://leetcode.com/problems/maximum-depth-of-binary-tree,Find the maximum depth (height) of a binary tree.
40,Symmetric Tree,LeetCode,Easy,"Binary Trees, DFS",https://leetcode.com/problems/symmetric-tree,Check whether a binary tree is a mirror of itself.
41,Invert Binary Tree,LeetCode,Easy,"Binary Trees, DFS",https://leetcode.com/problems/invert-binary-tree,Invert a binary tree (mirror it).
42,Path Sum,LeetCode,Easy,"Binary Trees, DFS",https://leetcode.com/problems/path-sum,Determine if the tree has a root-to-leaf path summing to a target.
43,Same Tree,LeetCode,Easy,"Binary Trees, DFS",https://leetcode.com/problems/same-tree,Check if two binary trees are identical in structure and values.
44,Count Complete Tree Nodes,LeetCode,Easy,"Binary Trees, Binary Search",https://leetcode.com/problems/count-complete-tree-nodes,Count nodes in a complete binary tree more efficiently than O(n).
45,Diameter of Binary Tree,LeetCode,Easy,"Binary Trees, DFS",https://leetcode.com/problems/diameter-of-binary-tree,Find the length of the longest path between any two nodes.
46,Valid Parentheses,LeetCode,Easy,"Stack, String",https://leetcode.com/problems/valid-parentheses,Check if a string of brackets is valid using a stack.
47,Implement Queue using Stacks,LeetCode,Easy,"Stack, Queue",https://leetcode.com/problems/implement-queue-using-stacks,Implement a FIFO queue using only two stacks.
48,Min Stack,LeetCode,Easy,"Stack, Design",https://leetcode.com/problems/min-stack,"Design a stack that supports push, pop, top, and retrieving the minimum in O(1)."
